          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.010     0     0     0.0      0      0 |   10    11    0.0131    0.0013    0.0000 |
    0.020     0     0     0.0      0      0 |   10    21    0.0013    0.0001    0.0000 |
    0.030     0     0     0.0      0      0 |   10    31    0.0013    0.0001    0.0000 |
    0.040     0     0     0.0      0      0 |   10    41    0.0014    0.0001    0.0000 |
    0.050     0     0     0.0      0      0 |   10    51    0.0014    0.0001    0.0000 |
    0.060     0     0     0.0      0      0 |   10    61    0.0014    0.0001    0.0000 |
    0.070     0     0     0.0      0      0 |   10    71    0.0014    0.0001    0.0000 |
    0.080     0     0     0.0      0      0 |   10    81    0.0013    0.0001    0.0000 |
    0.090     0     0     0.0      0      0 |   10    91    0.0013    0.0001    0.0000 |
    0.100     0     0     0.0      0      0 |   10   101    0.0014    0.0001    0.0000 |
    0.110     0     0     0.0      0      0 |   10   111    0.0015    0.0001    0.0000 |
    0.120     0     0     0.0      0      0 |   10   121    0.0014    0.0001    0.0000 |
    0.130     0     0     0.0      0      0 |   10   131    0.0015    0.0002    0.0000 |
    0.140     0     0     0.0      0      0 |   10   141    0.0014    0.0001    0.0000 |
    0.150     0     0     0.0      0      0 |   10   151    0.0015    0.0001    0.0000 |
    0.160     0     0     0.0      0      0 |   10   161    0.0017    0.0002    0.0000 |
    0.170     0     0     0.0      0      0 |   10   171    0.0014    0.0001    0.0000 |
    0.180     0     0     0.0      0      0 |   10   181    0.0016    0.0002    0.0000 |
    0.190     0     0     0.0      0      0 |   10   191    0.0015    0.0002    0.0000 |
    0.200     0     0     0.0      0      0 |   10   201    0.0015    0.0001    0.0000 |
    0.210     0     0     0.0      0      0 |   10   211    0.0014    0.0001    0.0000 |
    0.220     0     0     0.0      0      0 |   10   221    0.0015    0.0001    0.0000 |
    0.230     0     0     0.0      0      0 |   10   231    0.0015    0.0002    0.0000 |
    0.240     0     0     0.0      0      0 |   10   241    0.0014    0.0001    0.0000 |
    0.250     0     0     0.0      0      0 |   10   251    0.0013    0.0001    0.0000 |
    0.260     0     0     0.0      0      0 |   10   261    0.0014    0.0001    0.0000 |
    0.270     0     0     0.0      0      0 |   10   271    0.0015    0.0001    0.0000 |
    0.280     0     0     0.0      0      0 |   10   281    0.0017    0.0002    0.0000 |
    0.290     0     0     0.0      0      0 |   10   291    0.0013    0.0001    0.0000 |
    0.300     0     0     0.0      0      0 |   10   301    0.0013    0.0001    0.0000 |
    0.310     0     0     0.0      0      0 |   10   311    0.0012    0.0001    0.0000 |
    0.320     0     0     0.0      0      0 |   10   321    0.0016    0.0002    0.0000 |
    0.330     0     0     0.0      0      0 |   10   331    0.0015    0.0001    0.0000 |
    0.340     0     0     0.0      0      0 |   10   341    0.0014    0.0001    0.0000 |
    0.350     0     0     0.0      0      0 |   10   351    0.0013    0.0001    0.0000 |
    0.360     0     0     0.0      0      0 |   10   361    0.0013    0.0001    0.0000 |
    0.370     0     0     0.0      0      0 |   10   371    0.0014    0.0001    0.0000 |
    0.380     0     0     0.0      0      0 |   10   381    0.0014    0.0001    0.0000 |
    0.390     0     0     0.0      0      0 |   10   391    0.0017    0.0002    0.0000 |
    0.400     0     0     0.0      0      0 |   10   401    0.0015    0.0002    0.0000 |
    0.410     0     0     0.0      0      0 |   10   411    0.0014    0.0001    0.0000 |
    0.420     0     0     0.0      0      0 |   10   421    0.0014    0.0001    0.0000 |
